run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
id-6_wm-gpt_33ec0d7c-77a0-49ee-a2ed-0a52bbfa6a7c,id-6,wm-gpt,gpt-5.6-sol,responses-api,idurar-erp-crm,http://127.0.0.1:3215,true,,47.687,35.357,0.240,12.091,4,9,2265,176,2751,0,provider-managed,0.0179805,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:04:34.848Z
id-6_wm-gpt_291c05aa-92ff-4fe2-81f5-63517b3264ba,id-6,wm-gpt,gpt-5.6-sol,responses-api,idurar-erp-crm,http://127.0.0.1:3215,true,,46.574,35.479,0.196,10.899,4,9,1140,167,3865,0,provider-managed,0.0126425,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:05:21.780Z
id-6_wm-gpt_0a73c043-74a5-4316-ac83-8faa89b9b831,id-6,wm-gpt,gpt-5.6-sol,responses-api,idurar-erp-crm,http://127.0.0.1:3215,true,,43.596,35.400,0.198,7.998,3,7,1029,174,2415,0,provider-managed,0.0115725,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:06:05.749Z
id-7_wm-gpt_0367a7ad-64d6-498c-97f2-e937e470323a,id-7,wm-gpt,gpt-5.6-sol,responses-api,idurar-erp-crm,http://127.0.0.1:3215,true,,43.810,35.491,0.197,8.122,3,7,1023,137,2403,0,provider-managed,0.0104265,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:06:49.901Z
id-7_wm-gpt_d6bd9c34-b04d-4602-a84f-a6d1fae20b92,id-7,wm-gpt,gpt-5.6-sol,responses-api,idurar-erp-crm,http://127.0.0.1:3215,true,,43.546,35.493,0.207,7.847,3,7,1024,139,2405,0,provider-managed,0.0104925,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:07:33.797Z
id-7_wm-gpt_b87dc0a7-a2e0-432b-87bc-24539507d3cd,id-7,wm-gpt,gpt-5.6-sol,responses-api,idurar-erp-crm,http://127.0.0.1:3215,true,,42.791,35.395,0.200,7.196,3,7,1030,138,2423,0,provider-managed,0.0105015,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:08:16.943Z
