run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
id-6_cu-openai_aba8acbd-5f7f-4152-a14f-9ee289a47df1,id-6,cu-openai,gpt-5.6-luna,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,110.405,35.502,2.767,72.136,14,47,57755,989,5587,0,provider-managed,0.06424769999999999,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T01:50:36.604Z
id-6_cu-openai_df718b2a-862e-435a-97bd-87a2619c3575,id-6,cu-openai,gpt-5.6-luna,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,101.919,35.636,2.756,63.527,14,47,58067,1025,5587,0,provider-managed,0.06477569999999999,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T01:52:18.911Z
id-6_cu-openai_10317b8b-2319-4465-b735-bc646032952a,id-6,cu-openai,gpt-5.6-luna,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,96.780,35.573,2.724,58.483,13,43,50119,918,7753,0,provider-managed,0.0564023,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T01:53:56.047Z
id-7_cu-openai_3b577305-c211-4446-af72-3f531cdb8ac5,id-7,cu-openai,gpt-5.6-luna,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,71.152,35.460,2.711,32.981,8,26,25321,508,5568,0,provider-managed,0.028925799999999998,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T01:55:07.579Z
id-7_cu-openai_19ea980e-2826-4858-9a3c-02d69dddb849,id-7,cu-openai,gpt-5.6-luna,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,70.326,35.547,2.733,32.046,8,27,25297,499,5571,0,provider-managed,0.028848099999999998,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T01:56:18.290Z
id-7_cu-openai_89e4de85-4a6a-4738-ab1e-bc09350c88f5,id-7,cu-openai,gpt-5.6-luna,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,65.951,35.438,2.721,27.791,8,23,25143,432,5567,0,provider-managed,0.0282917,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T01:57:24.622Z
