run_id,task_id,arm,model,tool_version,site,start_url,success,failure_category,wall_clock_s,reset_s,setup_s,agent_s,model_turns,actions_or_tool_calls,input_tokens,output_tokens,cached_tokens,cache_write_tokens,caching,est_cost_usd,cost_estimated,snapshot_source,stop_reason,refusal,truncated,effort,retries,retry_wait_ms,budget_exhausted,temperature,perturbation_id,spec_shape,rescored,source,timestamp
id-6_cu-openai_7afc826d-2470-49c4-abfb-daba4049a65e,id-6,cu-openai,gpt-5.6-sol,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,110.671,35.414,2.760,72.497,13,44,52493,1040,5605,0,provider-managed,0.2964675,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:16:35.337Z
id-6_cu-openai_46289ba5-8904-4066-b87a-9b26e1874bc7,id-6,cu-openai,gpt-5.6-sol,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,95.621,35.529,2.736,57.356,12,39,47736,958,5846,0,provider-managed,0.270343,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:18:11.339Z
id-6_cu-openai_9498e4ed-73ce-471d-ac34-dedfe134c27d,id-6,cu-openai,gpt-5.6-sol,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,103.605,35.494,2.717,65.394,12,40,47079,882,5691,0,provider-managed,0.2647005,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:19:55.303Z
id-7_cu-openai_87283d75-743e-4304-b6f0-3770690eb76b,id-7,cu-openai,gpt-5.6-sol,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,80.775,35.473,2.730,42.573,8,28,27029,858,6264,0,provider-managed,0.164017,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:21:16.461Z
id-7_cu-openai_3f019ac2-76fb-4623-aeb7-77ea36b45fee,id-7,cu-openai,gpt-5.6-sol,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,101.952,35.675,2.732,63.546,13,39,53091,1021,5580,0,provider-managed,0.298875,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:22:58.780Z
id-7_cu-openai_d3673343-64d4-4a26-850e-b03b6e3efc68,id-7,cu-openai,gpt-5.6-sol,computer,idurar-erp-crm,http://127.0.0.1:3215,true,,76.042,35.413,2.723,37.906,8,28,25652,744,5608,0,provider-managed,0.153384,,provider-response,,false,false,,0,0,false,default,none,none,,,2026-08-20T02:24:15.194Z
